INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='HSJA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='QEBA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='GP', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 55 / 1056
INFO:root:True Label : 901 | Predicted Label : 471 | Cache Hits / Total Queries : 143 / 5311
INFO:root:True Label : 513 | Predicted Label : 649 | Cache Hits / Total Queries : 2827 / 5684
INFO:root:True Label : 655 | Predicted Label : 57 | Cache Hits / Total Queries : 268 / 5042
INFO:root:True Label : 200 | Predicted Label : 621 | Cache Hits / Total Queries : 163 / 5325
INFO:root:True Label : 768 | Predicted Label : 444 | Cache Hits / Total Queries : 2091 / 5272
INFO:root:True Label : 851 | Predicted Label : 47 | Cache Hits / Total Queries : 956 / 5304
INFO:root:True Label : 779 | Predicted Label : 895 | Cache Hits / Total Queries : 222 / 5431
INFO:root:True Label : 52 | Predicted Label : 981 | Cache Hits / Total Queries : 155 / 5357
INFO:root:True Label : 74 | Predicted Label : 399 | Cache Hits / Total Queries : 2135 / 5340
INFO:root:True Label : 754 | Predicted Label : 507 | Cache Hits / Total Queries : 141 / 5336
INFO:root:True Label : 447 | Predicted Label : 863 | Cache Hits / Total Queries : 235 / 5418
INFO:root:True Label : 999 | Predicted Label : 180 | Cache Hits / Total Queries : 153 / 5316
INFO:root:True Label : 694 | Predicted Label : 916 | Cache Hits / Total Queries : 228 / 5410
INFO:root:True Label : 651 | Predicted Label : 500 | Cache Hits / Total Queries : 154 / 5348
INFO:root:True Label : 114 | Predicted Label : 550 | Cache Hits / Total Queries : 7995 / 9280
INFO:root:True Label : 196 | Predicted Label : 545 | Cache Hits / Total Queries : 194 / 3059
INFO:root:True Label : 611 | Predicted Label : 651 | Cache Hits / Total Queries : 175 / 5365
INFO:root:True Label : 547 | Predicted Label : 717 | Cache Hits / Total Queries : 257 / 5027
INFO:root:True Label : 514 | Predicted Label : 943 | Cache Hits / Total Queries : 65 / 2590
INFO:root:True Label : 320 | Predicted Label : 479 | Cache Hits / Total Queries : 6485 / 7599
INFO:root:True Label : 75 | Predicted Label : 849 | Cache Hits / Total Queries : 275 / 4640
INFO:root:True Label : 571 | Predicted Label : 721 | Cache Hits / Total Queries : 43 / 2239
INFO:root:True Label : 655 | Predicted Label : 57 | Cache Hits / Total Queries : 230 / 5433
INFO:root:True Label : 169 | Predicted Label : 184 | Cache Hits / Total Queries : 518 / 3382
INFO:root:True Label : 742 | Predicted Label : 745 | Cache Hits / Total Queries : 9 / 323
INFO:root:True Label : 901 | Predicted Label : 471 | Cache Hits / Total Queries : 43 / 889
INFO:root:True Label : 255 | Predicted Label : 403 | Cache Hits / Total Queries : 319 / 5103
INFO:root:True Label : 851 | Predicted Label : 47 | Cache Hits / Total Queries : 154 / 5369
INFO:root:True Label : 579 | Predicted Label : 494 | Cache Hits / Total Queries : 252 / 5047
INFO:root:True Label : 200 | Predicted Label : 621 | Cache Hits / Total Queries : 4010 / 5510
INFO:root:True Label : 52 | Predicted Label : 981 | Cache Hits / Total Queries : 163 / 5370
INFO:root:True Label : 244 | Predicted Label : 616 | Cache Hits / Total Queries : 164 / 5334
INFO:root:True Label : 447 | Predicted Label : 863 | Cache Hits / Total Queries : 115 / 5299
INFO:root:True Label : 779 | Predicted Label : 895 | Cache Hits / Total Queries : 4746 / 5175
INFO:root:True Label : 858 | Predicted Label : 154 | Cache Hits / Total Queries : 290 / 5463
INFO:root:FINISHED
INFO:root:True Label : 694 | Predicted Label : 916 | Cache Hits / Total Queries : 215 / 5004
INFO:root:True Label : 196 | Predicted Label : 545 | Cache Hits / Total Queries : 72 / 2931
INFO:root:True Label : 754 | Predicted Label : 507 | Cache Hits / Total Queries : 4582 / 5762
INFO:root:True Label : 999 | Predicted Label : 180 | Cache Hits / Total Queries : 270 / 1870
INFO:root:True Label : 547 | Predicted Label : 717 | Cache Hits / Total Queries : 101 / 5292
INFO:root:True Label : 75 | Predicted Label : 849 | Cache Hits / Total Queries : 120 / 5335
INFO:root:True Label : 651 | Predicted Label : 500 | Cache Hits / Total Queries : 1959 / 5537
INFO:root:True Label : 571 | Predicted Label : 721 | Cache Hits / Total Queries : 144 / 5326
INFO:root:True Label : 255 | Predicted Label : 403 | Cache Hits / Total Queries : 174 / 5374
INFO:root:True Label : 579 | Predicted Label : 494 | Cache Hits / Total Queries : 254 / 5064
INFO:root:True Label : 611 | Predicted Label : 651 | Cache Hits / Total Queries : 8550 / 10738
INFO:root:True Label : 514 | Predicted Label : 943 | Cache Hits / Total Queries : 101 / 1178
INFO:root:True Label : 244 | Predicted Label : 616 | Cache Hits / Total Queries : 139 / 5323
INFO:root:True Label : 858 | Predicted Label : 154 | Cache Hits / Total Queries : 181 / 5361
INFO:root:FINISHED
INFO:root:True Label : 655 | Predicted Label : 57 | Cache Hits / Total Queries : 1754 / 5346
INFO:root:True Label : 851 | Predicted Label : 47 | Cache Hits / Total Queries : 5733 / 6891
INFO:root:True Label : 52 | Predicted Label : 981 | Cache Hits / Total Queries : 931 / 4515
INFO:root:True Label : 447 | Predicted Label : 863 | Cache Hits / Total Queries : 3522 / 5003
INFO:root:True Label : 694 | Predicted Label : 916 | Cache Hits / Total Queries : 6450 / 7827
INFO:root:True Label : 196 | Predicted Label : 545 | Cache Hits / Total Queries : 1466 / 5046
INFO:root:True Label : 547 | Predicted Label : 717 | Cache Hits / Total Queries : 4521 / 5696
INFO:root:True Label : 75 | Predicted Label : 849 | Cache Hits / Total Queries : 6613 / 7989
INFO:root:True Label : 571 | Predicted Label : 721 | Cache Hits / Total Queries : 609 / 2806
INFO:root:True Label : 255 | Predicted Label : 403 | Cache Hits / Total Queries : 1425 / 5021
INFO:root:True Label : 579 | Predicted Label : 494 | Cache Hits / Total Queries : 5975 / 6564
INFO:root:True Label : 244 | Predicted Label : 616 | Cache Hits / Total Queries : 5520 / 6367
INFO:root:True Label : 858 | Predicted Label : 154 | Cache Hits / Total Queries : 6405 / 9354
INFO:root:FINISHED
